id|title|image link|link|description|price|brand
26688|Worcester Greenstar ErP CDi Classic Combi 29kw Boiler|https://www2.turnbullsonline.co.uk/images/ocw/26688-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/40/-/26688||994.59000000|worcester
41668|RM Cylinders Stelflow Unvented Direct Cylinder [250L]|https://www2.turnbullsonline.co.uk/images/ocw/41668-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/143/-/41668|<p>The Stelflow Direct is a purpose made all electric unvented cylinder, designed for properties where gas or a boiler may not be present or feasible. The cylinder is heating soley using the supplied factory fitted immersion heaters in the side of the tank|533.25000000|rm_cyclinders
41677|RM Cylinders Stelflow Unvented Twin Coil Cylinder [150 Litres]|https://www2.turnbullsonline.co.uk/images/ocw/41677-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/143/-/41677|<p>The Stelflow Twin Coil presents the opportunity to combine multiple heat sources into one unit, primarily designed to work with solar thermal the unit can also be upgraded with minimal additional components to accept two boiler inputs. The twin coil uni|736.11000000|rm_cyclinders
41680|RM Cylinders Stelflow Unvented Twin Coil Cylinder [250 Litres]|https://www2.turnbullsonline.co.uk/images/ocw/41680-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/143/-/41680|<p>The Stelflow Twin Coil presents the opportunity to combine multiple heat sources into one unit, primarily designed to work with solar thermal the unit can also be upgraded with minimal additional components to accept two boiler inputs. The twin coil uni|839.59000000|rm_cyclinders
52138|Siamp Adjustable Telescopic Unisiphon|https://www2.turnbullsonline.co.uk/images/ocw/52138-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52138|Siamp is unanimously considered to be a worldwide leader in innovation and modern technical solutions in the sanitary market. Every product designed and manufactured by Siamp encompasses their main principles of efficiency, viability and sustainability. Th|17.16000000|siamp
52140|Siamp Optima 49 Dual Flush Toilet Valve|https://www2.turnbullsonline.co.uk/images/ocw/52140-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52140|The Siamp Optima 49 flush valve from Siamp is suitable for a variety of toilet cisterns thanks to it's height adjustable design. The valve features a 2 part design which allows for easy servicing in future without having to remove the cistern.|23.86000000|siamp
52141|Siamp Long Wire Dual Flush Toilet Valve Optima 50|https://www2.turnbullsonline.co.uk/images/ocw/52141-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52141|The Siamp Optima 49 flush valve from Siamp is suitable for a variety of toilet cisterns thanks to it's height adjustable design. The valve features a 2 part design which allows for easy servicing in future without having to remove the cistern.|22.56000000|siamp
52149|Siamp Dual Flush Button Optima 49|https://www2.turnbullsonline.co.uk/images/ocw/52149-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52149|The Siamp Optima 49 dual flush button, for use with the Optima 49 dual flush valve. Supplied with an optional collar to raise the button from the lid. When fitted without collar the button is compatible with lid hole diameters from 39mm to 42mm, when fitte|11.61000000|siamp
52150|Siamp Dual Flush Large Button Optima 50|https://www2.turnbullsonline.co.uk/images/ocw/52150-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52150|The Siamp Large Optima 50 dual flush button, for use with the Optima 50 dual flush valve. When fitted without collar the button is compatible with lid hole diameters from 39mm to 42mm. Supplied with an optional collar to raise the button from the lid and w|13.02000000|siamp
52151|Siamp Inlet Float Valve Diaphram Washer|https://www2.turnbullsonline.co.uk/images/ocw/52151-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52151|If a Siamp inlet valve won't shut off properly it could very well be that the diaphragm washer inside of the valve needs to be replaced. Over time as the valve is continuously opening and closing, small tears can start to form in the diaphragm washer, in t|5.76000000|siamp
52152|Siamp Optima Outlet Washer Seal|https://www2.turnbullsonline.co.uk/images/ocw/52152-extra-large.jpg|https://www2.turnbullsonline.co.uk/product/category/187/-/52152|The Siamp Optima Outlet Washer Seal is a replacement outlet washer for Optima 49 & Optima 50 flush valves. The outlet washer holds the water in the cistern until the flush valve is activated for flushing, over time it maybe necessary to replace the outlet |5.76000000|siamp
